dataset,method,k,macro_f1,baseline_macro_f1,threshold_90_percent
RT-IoT2022,LIME,12,0.5213223349024311,0.9806186572560694,0.8825567915304625
RT-IoT2022,LIME,13,0.4140548522154531,0.9806186572560694,0.8825567915304625
RT-IoT2022,LIME,14,0.4140548522154531,0.9806186572560694,0.8825567915304625
RT-IoT2022,LIME,15,0.4140548522154531,0.9806186572560694,0.8825567915304625
RT-IoT2022,LIME,16,0.4135346728495688,0.9806186572560694,0.8825567915304625
RT-IoT2022,LIME,17,0.4135346728495688,0.9806186572560694,0.8825567915304625
RT-IoT2022,LIME,18,0.4135346728495688,0.9806186572560694,0.8825567915304625
RT-IoT2022,LIME,19,0.4135346728495688,0.9806186572560694,0.8825567915304625
RT-IoT2022,LIME,20,0.4134238524327498,0.9806186572560694,0.8825567915304625
RT-IoT2022,LIME,21,0.4134238524327498,0.9806186572560694,0.8825567915304625
RT-IoT2022,LIME,22,0.4134238524327498,0.9806186572560694,0.8825567915304625
RT-IoT2022,LIME,23,0.41379029272498613,0.9806186572560694,0.8825567915304625
RT-IoT2022,LIME,24,0.41379029272498613,0.9806186572560694,0.8825567915304625
RT-IoT2022,LIME,25,0.4098033726189844,0.9806186572560694,0.8825567915304625
RT-IoT2022,LIME,26,0.40923369538200943,0.9806186572560694,0.8825567915304625
RT-IoT2022,LIME,27,0.42313067553359823,0.9806186572560694,0.8825567915304625
RT-IoT2022,LIME,28,0.4309061612109028,0.9806186572560694,0.8825567915304625
RT-IoT2022,LIME,29,0.4309061612109028,0.9806186572560694,0.8825567915304625
RT-IoT2022,LIME,30,0.4309061612109028,0.9806186572560694,0.8825567915304625
RT-IoT2022,LIME,31,0.4309061612109028,0.9806186572560694,0.8825567915304625
RT-IoT2022,LIME,32,0.43079966690266475,0.9806186572560694,0.8825567915304625
RT-IoT2022,LIME,33,0.43457778458187035,0.9806186572560694,0.8825567915304625
RT-IoT2022,LIME,34,0.43457778458187035,0.9806186572560694,0.8825567915304625
RT-IoT2022,LIME,35,0.4359948490260477,0.9806186572560694,0.8825567915304625
RT-IoT2022,LIME,36,0.4367037363005164,0.9806186572560694,0.8825567915304625
RT-IoT2022,LIME,37,0.45269584852625333,0.9806186572560694,0.8825567915304625
RT-IoT2022,LIME,38,0.5370542095243382,0.9806186572560694,0.8825567915304625
RT-IoT2022,LIME,39,0.5370542095243382,0.9806186572560694,0.8825567915304625
RT-IoT2022,LIME,40,0.5356855720878584,0.9806186572560694,0.8825567915304625
RT-IoT2022,LIME,41,0.5355258598152932,0.9806186572560694,0.8825567915304625
RT-IoT2022,LIME,42,0.5355959336598021,0.9806186572560694,0.8825567915304625
RT-IoT2022,LIME,43,0.5752369200024149,0.9806186572560694,0.8825567915304625
RT-IoT2022,LIME,44,0.5752514595573784,0.9806186572560694,0.8825567915304625
RT-IoT2022,LIME,45,0.5752514595573784,0.9806186572560694,0.8825567915304625
RT-IoT2022,LIME,46,0.6179367967698987,0.9806186572560694,0.8825567915304625
RT-IoT2022,LIME,47,0.6421065033792448,0.9806186572560694,0.8825567915304625
